Project Name,Checkpoint Name,Created On,File Name,Lines*,Statements,Percent Branch Statements,Percent Lines with Comments,Classes Defined,Methods Implemented per Class,Average Statements per Method,Line Number of Most Complex Function*,Name of Most Complex Function*,Maximum Complexity*,Line Number of Deepest Block,Maximum Block Depth,Average Block Depth,Average Complexity*,Functions,Statements at block level 0,Statements at block level 1,Statements at block level 2,Statements at block level 3,Statements at block level 4,Statements at block level 5,Statements at block level 6,Statements at block level 7,Statements at block level 8,Statements at block level 9
DC,Baseline,28 mar 2018,main.cpp,233,139,"14,4","17,6",0,"0,00","0,0",30,CreateComputeDevice(),9,68,5,"1,35","4,67",6,14,80,35,5,3,2,0,0,0,0
DC,Baseline,28 mar 2018,VectorAddCS.hlsl,8,5,"0,0","0,0",0,"0,00","0,0",8,CSMain(),1,11,1,"0,20","1,00",1,4,1,0,0,0,0,0,0,0,0
