Project Name,Checkpoint Name,Created On,File Name,Lines*,Statements,Percent Branch Statements,Percent Lines with Comments,Classes Defined,Methods Implemented per Class,Average Statements per Method,Line Number of Most Complex Function*,Name of Most Complex Function*,Maximum Complexity*,Line Number of Deepest Block,Maximum Block Depth,Average Block Depth,Average Complexity*,Functions,Statements at block level 0,Statements at block level 1,Statements at block level 2,Statements at block level 3,Statements at block level 4,Statements at block level 5,Statements at block level 6,Statements at block level 7,Statements at block level 8,Statements at block level 9
OpenCL,Baseline,28 mar 2018,main.cpp,63,39,"7,7","19,0",0,"0,00","0,0",18,main(),4,72,3,"0,97","4,00",1,6,29,3,1,0,0,0,0,0,0
OpenCL,Baseline,28 mar 2018,VectorAddition.cl,5,3,"0,0","0,0",0,"0,00","0,0",1,vectorAddition(),1,3,1,"0,67","1,00",1,1,2,0,0,0,0,0,0,0,0
